ProductKey,SKU,ProductName,Category,Subcategory,TeamType,TeamName,StarPlayer,BrandLine,ReleaseSeason,LaunchDate,BasePrice,BaseCost,IsLimitedEdition
58,BTS-0058,StrikerFlow Match,Footwear,Boots,None,No Team,,AeroKick,Performance Drop,2024-05-01,154,73.92,0
59,TRN-0059,Training Cone Set,Training Equipment,Training,None,No Team,,PitchLab,All Year,2025-10-01,22,11.0,0
60,TRN-0060,Agility Ladder,Training Equipment,Training,None,No Team,,PitchLab,All Year,2021-01-01,34,17.0,0
61,TRN-0061,Speed Hurdles,Training Equipment,Training,None,No Team,,PitchLab,All Year,2022-02-01,46,23.0,0
62,TRN-0062,Resistance Bands,Training Equipment,Training,None,No Team,,PitchLab,All Year,2023-03-01,28,14.0,0
63,TRN-0063,Recovery Roller,Training Equipment,Training,None,No Team,,PitchLab,All Year,2024-04-01,31,15.5,0
64,TRN-0064,Ball Rebound Net,Training Equipment,Training,None,No Team,,PitchLab,All Year,2025-05-01,79,39.5,0
65,TRN-0065,Coach Clipboard,Training Equipment,Training,None,No Team,,PitchLab,All Year,2021-06-01,18,9.0,0
66,TRN-0066,Training Bib Pack,Training Equipment,Training,None,No Team,,PitchLab,All Year,2022-07-01,39,19.5,0
67,TRN-0067,Pro Match Ball,Training Equipment,Training,None,No Team,,PitchLab,All Year,2023-08-01,74,37.0,0
68,TRN-0068,Everyday Training Ball,Training Equipment,Training,None,No Team,,PitchLab,All Year,2024-09-01,29,14.5,0
69,TRN-0069,Mini Goal Set,Training Equipment,Training,None,No Team,,PitchLab,All Year,2025-10-01,95,47.5,0
70,TRN-0070,Pump and Needle Kit,Training Equipment,Training,None,No Team,,PitchLab,All Year,2021-01-01,14,7.0,0
71,ACC-0071,Club Scarf,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2022-06-01,26,11.96,0
72,ACC-0072,Matchday Cap,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2023-07-01,28,12.88,0
73,ACC-0073,Stadium Water Bottle,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2024-08-01,21,9.66,0
74,ACC-0074,Supporter Flag,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2025-09-01,24,11.04,0
75,ACC-0075,Captain Armband,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2021-10-01,19,8.74,0
76,ACC-0076,Boot Bag,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2022-11-01,35,16.1,0
77,ACC-0077,Gym Sack,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2023-01-01,23,10.58,1
78,ACC-0078,Sticker Pack,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2024-02-01,12,5.52,0
79,ACC-0079,Phone Grip,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2025-03-01,16,7.36,0
80,ACC-0080,Travel Mug,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2021-04-01,20,9.2,0
81,ACC-0081,Beanie,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2022-05-01,27,12.42,0
82,ACC-0082,Pint Glass Set,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2023-06-01,29,13.34,0
83,ACC-0083,Keyring Bundle,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2024-07-01,11,5.06,0
84,ACC-0084,Laptop Sleeve,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2025-08-01,33,15.18,0
85,ACC-0085,Fan Drumsticks,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2021-09-01,17,7.82,0
86,ACC-0086,Matchday Towel,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2022-10-01,18,8.28,1
87,ACC-0087,Desk Pennant,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2023-11-01,15,6.9,0
88,ACC-0088,Poster Tube Pack,Accessories,Fan Accessory,None,No Team,,Matchday,Holiday and Event,2024-01-01,14,6.44,0
89,COL-0089,Player Pin Set,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2025-06-01,18,7.56,0
90,COL-0090,Ticket Stub Frame,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2021-07-01,32,13.44,0
91,COL-0091,Stadium Blueprint Print,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2022-08-01,45,18.9,1
92,COL-0092,Captain Figurine,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2023-09-01,58,24.36,1
93,COL-0093,Mascot Plush,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2024-10-01,24,10.08,0
94,COL-0094,Retro Program Book,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2025-11-01,37,15.54,0
95,COL-0095,Mini Trophy Replica,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2021-12-01,69,28.98,1
96,COL-0096,Signed Photo Pack,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2022-01-01,41,17.22,0
97,COL-0097,Legacy Patch Set,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2023-02-01,27,11.34,0
98,COL-0098,Collector Coin,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2024-03-01,34,14.28,0
99,COL-0099,Matchday Snow Globe,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2025-04-01,39,16.38,0
100,COL-0100,Champions Box,Collectibles,Collectible,None,No Team,,Vault Series,Collector Drops,2021-05-01,88,36.96,1
